325   103  1
325   105  1
326   1  1
326   11  1
326   27  4
326   52  1
327   1  3
327   27  1
327   103  1
328   1  1
329   1  5
329   2  1
329   52  5
329   53  2
329   54  4
329   55  1
329   56  3
329   67  1
329   104  2
330   1  3
330   12  2
330   27  5
330   28  3
330   32  1
330   39  3
330   41  1
330   45  6
330   52  4
330   55  1
330   71  3
330   104  1
331   1  1
332   1  1
332   49  2
332   54  1
332   66  1
333   1  1
334   1  1
335   1  1
335   2  3
336   1  1
337   1  1
337   2  1
337   54  1
337   56  1
337   104  1
338   1  2
338   27  1
338   48  1
338   66  1
339   1  1
340   1  2
340   54  2
340   89  1
341   1  2
341   27  1
342   1  1
343   1  3
343   2  1
343   49  2
343   52  1
343   53  1
343   103  1
343   104  2
344   1  1
344   11  1
344   27  2
344   33  1
344   45  1
344   52  5
344   57  1
344   66  1
344   71  1
344   103  3
345   1  1
346   1  1
346   2  1
347   1  4
347   2  2
347   11  1
347   13  1
347   27  5
347   28  1
347   48  1
347   52  4
347   53  2
347   54  1
347   56  1
347   57  1
347   66  1
347   103  4
347   104  2
347   110  1
348   1  2
349   1  1
349   27  1
350   1  1
350   27  1
350   52  1
350   103  2
351   1  1
351   27  1
352   1  1
352   27  1
353   1  1
353   54  1
354   1  1
354   47  2
355   1  2
355   2  4
355   52  7
355   56  4
356   1  3
357   1  3
358   1  2
358   2  1
358   13  2
358   14  3
358   27  1
358   103  1
359   1  1
359   17  1
359   47  1
360   1  1
360   2  2
360   12  2
360   13  1
360   22  4
360   27  7
360   33  2
360   39  1
360   45  6
360   47  15
360   48  4
360   52  3
360   53  1
360   62  1
360   68  1
360   71  1
360   83  1
360   100  1
360   103  2
360   108  5
360   109  2
361   1  1
362   1  1
363   1  1
363   2  2
364   1  1
365   1  1
365   39  1
366   1  1
366   48  1
367   1  1
367   27  3
367   48  1
367   52  1
368   1  1
368   19  1
368   39  1
368   47  1
368   52  2
369   1  1
370   1  1
370   2  1
371   1  2
371   12  1
371   39  1
371   52  3
371   55  3
371   66  1
371   83  1
372   1  4
372   100  1
373   1  2
373   2  1
373   6  13
373   13  1
373   14  3
373   19  13
373   21  3
373   22  1
373   27  27
373   28  6
373   32  4
373   33  1
373   35  3
373   37  5
373   39  3
373   43  2
373   48  6
373   49  4
373   50  1
373   51  1
373   52  20
373   54  8
373   55  4
373   56  1
373   57  7
373   62  1
373   69  1
373   70  4
373   71  3
373   80  1
373   83  4
373   85  1
373   89  4
373   94  1
373   100  7
373   103  3
373   104  13
373   108  4
374   1  1
374   11  2
374   19  1
374   27  2
374   39  2
374   43  1
374   45  1
374   48  3
374   49  1
374   52  3
374   54  3
374   57  2
374   63  1
374   89  3
374   102  1
374   104  1
374   110  1
375   1  1
376   1  1
377   1  1
378   1  1
378   35  1
379   1  1
379   8  1
379   13  1
379   27  2
379   33  1
379   35  1
379   39  2
379   47  2
379   48  1
379   54  1
379   100  1
379   103  2
379   104  1
380   1  1
380   2  1
380   6  3
380   14  1
380   18  1
380   27  5
380   28  2
380   35  1
380   37  1
380   39  5
380   43  1
380   45  2
380   47  5
380   48  2
380   52  4
380   54  7
380   55  1
380   56  1
380   62  2
380   68  1
380   70  2
380   71  1
380   83  2
380   85  1
380   91  1
380   100  2
380   102  1
380   103  4
380   104  1
380   108  1
380   110  1
381   1  1
382   1  1
383   1  1
384   1  1
385   1  1
386   1  1
387   1  1
388   1  1
389   1  1
389   6  4
389   9  1
389   13  2
389   27  1
389   33  1
389   35  1
389   43  1
389   47  2
389   48  3
389   50  3
389   52  1
389   55  1
389   57  3
389   58  1
389   71  1
389   85  1
389   98  1
389   101  1
389   104  2
390   1  1
390   27  1
390   66  1
391   1  1
391   32  1
392   1  1
392   43  1
393   1  2
394   1  1
394   2  1
394   47  1
395   1  1
395   2  2
395   66  1
395   103  1
396   1  1
396   57  1
396   67  1
397   1  1
398   1  1
398   6  1
398   14  2
398   22  1
398   27  1
398   47  1
398   48  1
398   103  1
398   104  1
399   1  1
400   1  2
400   48  1
401   1  1
401   22  3
401   100  1
402   1  1
402   13  1
402   19  1
402   39  2
402   48  1
402   49  1
402   51  1
402   52  1
402   54  1
403   1  1
403   2  1
404   1  1
405   1  1
406   1  1
407   1  1
408   1  2
408   6  1
408   27  1
408   39  1
408   45  1
408   49  1
408   52  1
408   54  1
408   83  1
408   100  1
409   1  1
409   52  1
410   1  2
410   39  1
410   66  1
411   1  1
412   1  1
413   1  1
413   48  1
413   110  1
414   1  2
415   1  1
415   13  1
416   1  1
416   47  1
416   103  2
417   1  1
418   1  1
419   1  1
420   1  2
420   27  2
420   69  1
421   1  1
421   2  1
421   27  5
421   47  3
421   48  4
421   52  2
421   94  1
421   103  3
421   104  1
421   110  1
422   1  1
423   1  1
423   71  1
424   1  1
424   11  1
424   27  7
424   32  2
424   39  1
424   47  1
424   48  3
424   49  2
424   52  1
424   54  1
424   74  1
424   108  2
424   110  3
425   1  1
425   12  3
425   27  2
425   39  1
425   45  1
425   47  2
425   48  4
425   49  1
425   50  1
425   52  3
425   56  1
425   71  1
425   89  1
425   100  1
425   101  1
425   103  1
425   108  1
425   110  2
426   1  1
427   1  1
427   39  1
428   1  1
429   1  1
429   66  1
429   102  1
429   108  1
430   1  1
431   1  1
432   1  1
433   1  1
434   1  1
435   1  1
435   12  1
435   27  5
435   52  3
435   54  2
435   56  2
435   89  9
435   103  2
435   104  2
436   1  1
436   27  2
437   1  1
438   1  1
439   1  1
440   1  1
440   103  1
441   1  2
441   47  1
442   1  1
442   6  1
442   103  1
443   1  1
444   1  2
445   1  2
446   1  2
446   66  1
447   1  2
448   1  1
449   1  1
450   1  1
451   1  1
452   1  1
452   48  2
452   52  1
452   100  2
453   1  1
454   1  1
455   1  1
455   2  3
456   1  1
457   1  1
457   2  1
457   27  1
457   52  1
457   103  2
458   1  2
459   1  1
459   47  1
460   1  1
460   27  6
460   66  1
460   103  1
461   1  1
462   1  1
462   104  2
463   1  1
464   1  1
464   104  1
465   1  1
465   35  1
465   48  1
465   71  1
466   1  2
467   1  1
468   1  1
468   2  2
469   1  1
469   39  1
470   1  1
470   12  1
471   1  1
471   52  1
471   103  1
472   1  2
473   1  1
473   48  1
474   1  1
474   48  4
475   1  1
475   13  1
475   48  1
475   52  1
476   1  1
477   1  1
477   27  1
477   33  1
477   37  1
477   103  1
478   1  1
478   27  2
479   1  1
479   13  2
479   27  8
479   28  10
479   47  1
479   49  1
479   52  3
479   83  14
480   1  1
480   54  1
481   1  1
482   1  1
482   8  1
482   27  4
482   33  3
482   39  2
482   43  1
482   45  1
482   47  2
482   48  3
482   50  1
482   52  7
482   54  1
482   55  1
482   56  1
482   89  2
482   102  1
482   103  4
482   104  1
483   1  1
484   1  1
484   12  1
484   27  1
484   28  1
484   54  5
484   104  1
485   1  1
485   13  1
485   54  1
485   55  3
485   68  1
485   103  1
485   104  3
486   1  1
487   1  1
487   2  2
487   47  1
488   1  1
488   27  2
488   66  1
488   103  1
489   1  1
489   12  4
490   1  1
490   12  8
491   1  1
491   33  2
492   1  1
492   6  5
492   27  1
492   103  1
493   1  1
493   17  1
494   1  1
495   1  1
496   1  1
497   1  1
497   6  1
497   27  2
497   28  1
497   45  2
497   47  5
497   52  1
497   55  1
497   58  1
497   66  1
